Name,Latitude,Longitude,Length,Voltage,Power,Year,Location
Cahora Bassa,-15.61139,32.74972,1420,533,1920,1979,Africa
Inga-Shaba,-10.6575,25.45222,1700,500,560,1982,Africa
Caprivi Link,-20.31472,16.4525,950,350,300,2010,Africa
Ethiopia–Kenya HVDC Interconnector,6.9075,37.72194,1045,500,2000,2019,Africa
HVDC Inter-Island 1,-44.56528,170.19,611,270,600,1965,Australia and Oceania
HVDC Inter-Island 2,-44.56528,170.19,611,350,700,1992,Australia and Oceania
Terranora interconnector (Directlink),-28.57083,153.45222,59,80,180,2000,Australia and Oceania
Murraylink,-34.29194,142.23861,176,150,200,2002,Australia and Oceania
Basslink,-38.2625,146.60806,370 (298/72),400,500,2006,Australia and Oceania
HVDC Inter-Island 3,-44.56528,170.19,611,350,735,2013,Australia and Oceania
Hokkaido - Honshu,41.93194,140.66306,193 (44/149),250,300,1979,Asia
Zhou Shan,29.92361,121.78083,54 (12/42),100,50,1982,Asia
Gezhouba - Shanghai,30.72889,111.24417,1046 (0/1046),500,1200,1989,Asia
Sileru-Barsoor,17.86694,81.65583,196 (0/196),200,100,1989,Asia
Rihand-Delhi,24.02028,82.78917,814 (0/814),500,1500,1990,Asia
Haenam-Cheju,34.3675,126.59278,101 (101/0),180,300,1996,Asia
Leyte - Luzon,11.08861,124.63917,451 (21/430),350,440,1998,Asia
Chandrapur-Padghe,20.01,79.285,752 (0/752),500,1500,1999,Asia
Kii Channel,33.82778,134.63722,100 (50/50),250,1400,2000,Asia
Tian-Guang,24.91556,105.09639,960 (0/960),500,1800,2001,Asia
Thailand-Malaysia,6.71556,100.45222,110 (0/110),300,300,2001,Asia
Shengsi,30.70167,122.43944,66.2 (63.21/2.99),50,60,2002,Asia
Talcher-Kolar,21.10028,85.06361,1450 (0/1450),500,2500,2003,Asia
Three Gorges - Changzhou,30.785,111.53,890 (0/890),500,3000,2003,Asia
Guizhou - Guangdong I,26.27306,105.80583,980 (0/980),500,3000,2004,Asia
Three Gorges - Guangdong,30.45722,112.13833,940 (0/940),500,3000,2004,Asia
Three Gorges - Shanghai,30.52917,111.37639,1060 (0/1060),500,3000,2006,Asia
Guizhou - Guangdong II,25.46556,105.25389,1200 (0/1200),500,3000,2007,Asia
Ballia - Bhiwadi,26.07111,83.71333,800 (0/800),500,2500,2010,Asia
Baoji - Deyang,34.57972,107.33028,574 (0/574),500,3000,2010,Asia
Hulunbeir - Liaoning,48.51778,119.725,920 (0/920),500,3000,2010,Asia
Xiangjiaba-Shanghai,28.54639,104.41778,1980 (0/1980),800,6400,2010,Asia
Yunnan - Guangdong,25.19,102.19167,1418 (0/1418),800,5000,2010,Asia
Hubei - Shanghai,30.8225,112.12083,970 (0/970),500,3000,2011,Asia
Nanhui Wind Farm Integration,None,None,8.4 (8.4/0),30,18,2011,Asia
