Name,Latitude,Longitude,Latitude2,Longitude2,Year,color
Cahora Bassa,-15.61139,32.74972,-25.91972,28.27611,1979.0,0.316901408451
Inga-Shaba,-10.6575,25.45222,-5.52417,13.61083,1982.0,0.295774647887
Caprivi Link,-20.31472,16.4525,-17.50167,24.22222,2010.0,0.0985915492958
HVDC Inter-Island 1,-44.56528,170.19,-41.15028,174.98111,1965.0,0.415492957746
HVDC Inter-Island 2,-44.56528,170.19,-41.15028,174.98111,1992.0,0.225352112676
Terranora interconnector (Directlink),-28.57083,153.45222,-28.25556,153.47222,2000.0,0.169014084507
Murraylink,-34.29194,142.23861,-34.23806,140.60028,2002.0,0.154929577465
Basslink,-38.2625,146.60806,-41.11472,146.89194,2006.0,0.12676056338
HVDC Inter-Island 3,-44.56528,170.19,-41.15028,174.98111,2013.0,0.0774647887324
Hokkaido - Honshu,41.93194,140.66306,40.80167,141.19778,1979.0,0.316901408451
Zhou Shan,29.92361,121.78083,30.03694,122.0675,1982.0,0.295774647887
Gezhouba - Shanghai,30.72889,111.24417,30.95611,121.41333,1989.0,0.246478873239
Sileru-Barsoor,17.86694,81.65583,19.13889,81.39639,1989.0,0.246478873239
Rihand-Delhi,24.02028,82.78917,28.59333,77.60444,1990.0,0.239436619718
Haenam-Cheju,34.3675,126.59278,33.535,126.59556,1996.0,0.197183098592
Leyte - Luzon,11.08861,124.63917,13.61111,123.23861,1998.0,0.183098591549
Chandrapur-Padghe,20.01,79.285,19.35722,73.18833,1999.0,0.176056338028
Kii Channel,33.82778,134.63722,34.21389,135.50194,2000.0,0.169014084507
Tian-Guang,24.91556,105.09639,23.31611,113.25139,2001.0,0.161971830986
Thailand-Malaysia,6.71556,100.45222,5.8125,100.535,2001.0,0.161971830986
Shengsi,30.70167,122.43944,30.86556,121.84028,2002.0,0.154929577465
Talcher-Kolar,21.10028,85.06361,13.1775,78.11667,2003.0,0.147887323944
Three Gorges - Changzhou,30.785,111.53,31.61167,119.99083,2003.0,0.147887323944
Guizhou - Guangdong I,26.27306,105.80583,22.91583,112.48639,2004.0,0.140845070423
Three Gorges - Guangdong,30.45722,112.13833,23.27083,114.20139,2004.0,0.140845070423
Three Gorges - Shanghai,30.52917,111.37639,31.23694,121.18694,2006.0,0.12676056338
Guizhou - Guangdong II,25.46556,105.25389,22.75028,113.99111,2007.0,0.119718309859
Ballia - Bhiwadi,26.07111,83.71333,28.18333,76.81611,2010.0,0.0985915492958
Baoji - Deyang,34.57972,107.33028,31.32278,104.58083,2010.0,0.0985915492958
Hulunbeir - Liaoning,48.51778,119.725,41.12361,122.77889,2010.0,0.0985915492958
Xiangjiaba-Shanghai,28.54639,104.41778,30.92556,121.77111,2010.0,0.0985915492958
Yunnan - Guangdong,25.19,102.19167,23.25528,113.67889,2010.0,0.0985915492958
Hubei - Shanghai,30.8225,112.12083,30.86667,121.01611,2011.0,0.0915492957746
Nanhui Wind Farm Integration,31.2,121.5,None,None,2011.0,0.0915492957746
Ningdong - Shandong,38.11556,106.51528,36.31139,119.88139,2011.0,0.0915492957746
